Game Title,Developer,Type,Price
Star Wars Galaxies: Jump to Lightspeed,Sony Online Entertainment, multiplayer,"65,99 €"
Shining Force: Resurrection of the Dark Dragon,Amusement Vision, singleplayer,"87,99 €"
Guilty Gear Judgment,Arc System Works, multiplayer,"67,99 €"
Law & Order: Justice Is Served,Legacy Interactive, singleplayer,"60,99 €"
"Warhammer 40,000: Dawn of War III",Relic, multiplayer,"46,99 €"
Cognition: An Erica Reed Thriller Episode 3 - The Oracle,Phoenix Online Studios, singleplayer,"75,99 €"
Overcooked!: Special Edition,Team17, ,"78,99 €"
Borderlands 3: Bounty of Blood,Gearbox Software, multiplayer,"58,99 €"
The Keep,Cinemax, ,"76,99 €"
LEGO Star Wars,Traveller's Tales, multiplayer,"70,99 €"
The Sims Medieval,The Sims Studio, singleplayer,"60,99 €"
TERA,Bluehole Studio, multiplayer,"68,99 €"
LISA,Dingaling, singleplayer,"86,99 €"
Risk of Rain,Chucklefish, ,"81,99 €"
Garou: Mark of the Wolves,SNK Playmore, multiplayer,"88,99 €"
Pangya Fantasy Golf,Ntreev Soft, ,"72,99 €"
Tales of Graces f,Namco Bandai Games, singleplayer,"85,99 €"
Klonoa,Paon Corporation, singleplayer,"82,99 €"
Spintires: MudRunner,Saber Interactive, multiplayer,"68,99 €"
Disney's Kim Possible 2: Drakken's Demise,Artificial Mind and Movement, singleplayer,"80,99 €"
Brute Force,Digital Anvil, multiplayer,"80,99 €"
Doom II,Torus Games, multiplayer,"88,99 €"
Legacy of Kain: Soul Reaver 2,Crystal Dynamics, singleplayer,"88,99 €"
Dark Reign 2,Pandemic Studios, multiplayer,"71,99 €"
A World of Keflings,NinjaBee, ,"69,99 €"
Mega Man X5,Capcom, singleplayer,"89,99 €"
Tomb Raider III,Core Design Ltd., singleplayer,"81,99 €"
Endless Ocean: Blue World,Arika, ,"85,99 €"
NBA 2K22,Visual Concepts, ,"46,99 €"
Half-Minute Hero: Super Mega Neo Climax,Opus, ,"80,99 €"
Mario vs. Donkey Kong 2: March of the Minis,Nintendo, singleplayer,"79,99 €"
Star Wars: Battlefront (2004),Pandemic Studios, multiplayer,"83,99 €"
Resonance,xii games, ,"76,99 €"
SingStar Legends,SCEE London Studio, ,"68,99 €"
LEGO Builder's Journey,Light Brick, singleplayer,"76,99 €"
Dance Dance Revolution Extreme 2,Konami Computer Entertainment Hawaii, multiplayer,"88,99 €"
Hob: The Definitive Edition,Panic Button, singleplayer,"75,99 €"
Operencia: The Stolen Sun,Zen Studios, singleplayer,"63,99 €"
Old Man's Journey,Broken Rules, singleplayer,"65,99 €"
GoD Factory: Wingmen,Nine Dots Studio, ,"66,99 €"
Escape Goat 2,MagicalTimeBean, singleplayer,"75,99 €"
Shift Extended,Zallag, ,"75,99 €"
Plain Sight,Beatnik Games, ,"74,99 €"
Street Fighter II' Hyper Fighting,Sensory Sweep, multiplayer,"69,99 €"
Spider-Man: The Movie,Treyarch, singleplayer,"77,99 €"
Pokemon Art Academy,Headstrong Games, singleplayer,"77,99 €"
Green Day: Rock Band,Harmonix Music Systems, ,"62,99 €"
Tethered,Secret Sorcery, ,"74,99 €"
Imperator: Rome,Paradox Development Studio, multiplayer,"49,99 €"
Pacific Fighters,1C, multiplayer,"75,99 €"
Save me Mr Tako: Definitive Edition,Christophe Galati, singleplayer,"76,99 €"
Tropico 6,Limbic Entertainment, multiplayer,"70,99 €"
Hob,Runic Games, singleplayer,"75,99 €"
Master X Master,NCSOFT, ,"76,99 €"
Suikoden Tierkreis,Konami, multiplayer,"78,99 €"
Disney's Extreme Skate Adventure,Toys for Bob, multiplayer,"73,99 €"
Total War: Rome II,Creative Assembly, ,"43,99 €"
Solatorobo: Red the Hunter,CyberConnect2, ,"85,99 €"
Bone: The Great Cow Race,Telltale Games, singleplayer,"69,99 €"
Sniper Elite VR,Rebellion, singleplayer,"63,99 €"
Aion,NCSOFT, multiplayer,"66,99 €"
Bloodroots,Paper Cult, singleplayer,"61,99 €"
Pirates of the Burning Sea,Flying Lab Software, multiplayer,"76,99 €"
Tales of Phantasia,Namco, singleplayer,"80,99 €"
Luckslinger,Duckbridge, singleplayer,"70,99 €"
Gradius Collection,M2, singleplayer,"80,99 €"
SoulCalibur II HD Online,Project Soul, ,"78,99 €"
Peggle Nights,PopCap, ,"76,99 €"
Obduction,Cyan Worlds, singleplayer,"76,99 €"
Ratchet & Clank: Into the Nexus,Insomniac Games, singleplayer,"82,99 €"
.hack//Mutation Part 2,CyberConnect2, singleplayer,"85,99 €"
Final Fantasy II Pixel Remaster,Square Enix, singleplayer,"38,99 €"
ToeJam & Earl: Back in the Groove,Humanature Studios, multiplayer,"69,99 €"
Transport Fever 2,Urban Games, singleplayer,"74,99 €"
Lock On: Modern Air Combat,Eagle Dynamics, multiplayer,"74,99 €"
Mat Hoffman's Pro BMX 2,Rainbow Studios, multiplayer,"79,99 €"
TransWorld Surf,Rockstar San Diego, ,"69,99 €"
Monster Rancher Advance,Tecmo, ,"78,99 €"
The Devil Inside,Cryo Interactive, ,"62,99 €"
SaGa: Scarlet Grace - Ambitions,Square Enix, singleplayer,"69,99 €"
Atelier Ayesha Plus: The Alchemist of Dusk,Gust, singleplayer,"83,99 €"
Super Chariot,Frima Studio, singleplayer,"78,99 €"
Ketzal's Corridors,Keys Factory, ,"76,99 €"
Antipole,Saturnine Games, singleplayer,"76,99 €"
Elemental Gearbolt,Alfa System, multiplayer,"76,99 €"
Riviera: The Promised Land,Sting, singleplayer,"86,99 €"
JumpJet Rex,TreeFortress Games, singleplayer,"70,99 €"
Friday the 13th: Killer Puzzle,Blue Wizard Digital, singleplayer,"72,99 €"
Life is Strange: Episode 4 - Dark Room,DONTNOD Entertainment, ,"86,99 €"
Clustertruck,LandFall Games, singleplayer,"71,99 €"
Contra ReBirth,M2, singleplayer,"85,99 €"
WarioWare: Get It Together!,Nintendo, singleplayer,"81,99 €"
Harvest Moon: Animal Parade,Natsume, singleplayer,"88,99 €"
Ratchet & Clank Future: Quest for Booty,Insomniac Games, singleplayer,"73,99 €"
Call of Duty: Modern Warfare - Reflex Edition,Treyarch, multiplayer,"81,99 €"
Persona 5 Strikers,Omega Force, singleplayer,"69,99 €"
Call of Duty: Black Ops II - Uprising,Treyarch, ,"50,99 €"
Miasmata,IonFX, ,"76,99 €"
Multiwinia: Survival of the Flattest,Introversion, multiplayer,"86,99 €"
The Beginner's Guide,Davey Wreden, singleplayer,"75,99 €"
Pokken Tournament,Bandai Namco Games, multiplayer,"73,99 €"
The Outer Worlds: Murder on Eridanos,Obsidian Entertainment, ,"70,99 €"
TENS!,Kwalee Ltd, singleplayer,"76,99 €"
Noita,Nolla Games, singleplayer,"82,99 €"
Minoria,Bombservice, singleplayer,"70,99 €"
Old School Musical,La Moutarde, multiplayer,"76,99 €"
Chaos;Child,5pb, singleplayer,"84,99 €"
Piczle Lines DX,Score Studios, singleplayer,"76,99 €"
Battlefield 1: They Shall Not Pass,EA DICE, ,"49,99 €"
ACA NeoGeo: Metal Slug 3,SNK Playmore, singleplayer,"77,99 €"
Call of Duty: Infinite Warfare - Sabotage,Infinity Ward, ,"18,99 €"
Werewolves Within,Ubisoft, multiplayer,"69,99 €"
Castle In The Darkness,Matt Kap, singleplayer,"76,99 €"
BioShock Infinite: Burial at Sea - Episode One,Irrational Games, ,"82,99 €"
Volgarr the Viking,Crazy Viking Studios, singleplayer,"78,99 €"
Deathsmiles,Cave, ,"84,99 €"
Bubble Bobble Plus!,Taito Corporation, multiplayer,"57,99 €"
Chessmaster LIVE,Ubisoft Bulgaria, multiplayer,"69,99 €"
MVP 07 NCAA Baseball,EA Canada, multiplayer,"84,99 €"
Dominions II: The Ascension Wars,Illwinter Design Group, multiplayer,"72,99 €"
Spyro 2: Season of Flame,Digital Eclipse, singleplayer,"71,99 €"
Harvest Moon: Save the Homeland,Victor Interactive Software, singleplayer,"86,99 €"
Boxing Fever,Digital Fiction, ,"76,99 €"
Sega Bass Fishing 2,Wow Entertainment, ,"83,99 €"
Toy Story Racer,Traveller's Tales, ,"83,99 €"
Star Wars Episode I: Jedi Power Battles,LucasArts, ,"81,99 €"
Star Trek: Invasion,Warthog, multiplayer,"76,99 €"
Twisted Metal,Eat Sleep Play, multiplayer,"79,99 €"
WindJammers,DotEmu, multiplayer,"68,99 €"
Super Mario Party,Nintendo, multiplayer,"71,99 €"
Mario & Luigi: Paper Jam,Nintendo, singleplayer,"74,99 €"
Divinity: Dragon Commander,Larian Studios Games, multiplayer,"71,99 €"
Penny Arcade Adventures: Episode One,Hothead Games, ,"76,99 €"
Sushi Striker: The Way of Sushido,indieszero, multiplayer,"77,99 €"
Donkey Konga,Namco, multiplayer,"79,99 €"
Zuma's Revenge!,PopCap, singleplayer,"70,99 €"
MLB 12: The Show,SCEA San Diego Studios, ,"77,99 €"
The Denpa Men 2: Beyond the Waves,Genius Sonority Inc., ,"64,99 €"
Rush for Berlin,Stormregion, multiplayer,"75,99 €"
Masquerada: Songs and Shadows,Witching Hour Studios, ,"76,99 €"
Tales From Space: About a Blob,DrinkBox Studios, multiplayer,"76,99 €"
Nioh: Dragon of the North,Team Ninja, ,"77,99 €"
Shadow Hearts: From the New World,Nautilus, singleplayer,"83,99 €"
PixelJunk SideScroller,Q-Games, ,"70,99 €"
Fantasy Strike,Sirlin Games, multiplayer,"75,99 €"
Azure Striker Gunvolt 2,Inti Creates, ,"78,99 €"
Phoenix Wright: Ace Attorney - Justice for All,Capcom, singleplayer,"86,99 €"
Kirby Super Star Ultra,HAL Labs, singleplayer,"88,99 €"
Candleman: The Complete Journey,Spotlightor Interactive, singleplayer,"63,99 €"
MAG,Zipper Interactive, multiplayer,"82,99 €"
Metal Slug 3,SNK, multiplayer,"54,99 €"
Momodora: Reverie Under the Moonlight,Bombservice, singleplayer,"73,99 €"
Minutes,Red Phantom Games, ,"72,99 €"
Spec Ops: The Line,Yager, ,"82,99 €"
SingStar Vol. 2,SCEE London Studio, singleplayer,"76,99 €"
SuperEpic: The Entertainment War,Numskull Games, singleplayer,"78,99 €"
Sundered: Eldritch Edition,Thunder Lotus Games, singleplayer,"76,99 €"
Deponia Doomsday,Daedalic Entertainment, singleplayer,"71,99 €"
Dr. Mario Express,Arika, singleplayer,"73,99 €"
Ever Oasis,GREZZO, singleplayer,"81,99 €"
Final Fantasy Fables: Chocobo's Dungeon,h.a.n.d. Inc., multiplayer,"80,99 €"
Phantasy Star Collection,Digital Eclipse, singleplayer,"82,99 €"
Beach Spikers: Virtua Beach Volleyball,Sega AM2, multiplayer,"83,99 €"
Pac-Man 99,Bandai Namco Games, multiplayer,"83,99 €"
EA Sports UFC 2,EA Sports, multiplayer,"57,99 €"
Pillars of Eternity: The White March - Part 1,Obsidian Entertainment, singleplayer,"76,99 €"
Room to Grow,Mischka Kamener, singleplayer,"76,99 €"
Bombslinger,Mode4, singleplayer,"71,99 €"
Skylanders SuperChargers,Vicarious Visions, ,"54,99 €"
Brave Story: New Traveler,Game Republic, singleplayer,"77,99 €"
ATV Offroad Fury Pro,Climax Group, multiplayer,"75,99 €"
Fallout 3: The Pitt,Bethesda Game Studios, singleplayer,"73,99 €"
Hot Shots Golf: World Invitational,Clap Hanz, multiplayer,"81,99 €"
The Sims 3,The Sims Studio, singleplayer,"75,99 €"
Broken Lines,PortaPlay, singleplayer,"71,99 €"
Bit.Trip Runner,Gaijin Games, singleplayer,"80,99 €"
Ultimate Block Party,Magicpot, multiplayer,"76,99 €"
Cat Quest II: The Lupus Empire,The Gentlebros, singleplayer,"74,99 €"
Kingdom Hearts: Chain of Memories,Jupiter Corporation, singleplayer,"87,99 €"
Mighty Gunvolt Burst,Inti Creates, singleplayer,"77,99 €"
R.U.S.E.,Eugen Systems, multiplayer,"80,99 €"
Burn Zombie Burn,Doublesix, singleplayer,"77,99 €"
Elliot Quest,Ansimuz Games, ,"72,99 €"
Rhythm Thief & the Emperor's Treasure,Sega, ,"81,99 €"
7th Dragon III Code: VFD,Sega, singleplayer,"79,99 €"
The Ship,Outerlight, singleplayer,"71,99 €"
EverQuest II: Kingdom of Sky,Sony Online Entertainment, multiplayer,"66,99 €"
LawBreakers,Boss Key Productions, multiplayer,"58,99 €"
Kingdom Come: Deliverance,Warhorse Studios, singleplayer,"80,99 €"
Shadowrun Returns,Harebrained Schemes LLC, singleplayer,"75,99 €"
Star Fox Command,Q-Games, multiplayer,"70,99 €"
Lode Runner,Southend Interactive, multiplayer,"72,99 €"
City Life,Monte Cristo Multimedia, singleplayer,"75,99 €"
Days Gone,Sony Bend, singleplayer,"86,99 €"
Alien Front Online,Sega, ,"77,99 €"
Tokyo Xtreme Racer Zero,Genki, multiplayer,"88,99 €"
Sega Smash Pack Volume 1,Sega, ,"75,99 €"
Mega Man Legends 2,Capcom, singleplayer,"88,99 €"
WWE Day of Reckoning 2,Yuke's, multiplayer,"61,99 €"
Disney DuckTales Remastered,WayForward, ,"80,99 €"
Undertow,Chair Entertainment, multiplayer,"76,99 €"
Streets of Rage 2,Sega, multiplayer,"85,99 €"
Kung Fu Panda,"Luxoflux, Inc.", singleplayer,"76,99 €"
"WarioWare, Inc.: Mega Party Game$!",Nintendo, multiplayer,"81,99 €"
One Piece: Pirate Warriors 3 - Deluxe Edition,Koei Tecmo Games, multiplayer,"82,99 €"
Plants vs Zombies: Garden Warfare,PopCap, multiplayer,"74,99 €"
Samurai Warriors 4,Omega Force, multiplayer,"77,99 €"
The Wolf Among Us: Episode 2 - Smoke and Mirrors,Telltale Games, ,"83,99 €"
Field of Glory: Empires,AGEOD, multiplayer,"69,99 €"
Pathologic Classic HD,Ice-Pick Lodge, singleplayer,"88,99 €"
The Bard's Tale,InXile Entertainment, singleplayer,"78,99 €"
Crimson Shroud,Nex Entertainment, ,"80,99 €"
OMNO,Jonas Manke, singleplayer,"69,99 €"
Hunt: Showdown,Crytek, singleplayer,"67,99 €"
Klaus,La Cosa Entertainment, ,"72,99 €"
Gigantic,Motiga, multiplayer,"83,99 €"
Behind the Frame: The Finest Scenery,Silver Lining Studio, singleplayer,"86,99 €"
Insurmountable,ByteRockers' Games, singleplayer,"76,99 €"
Marvel's Spider-Man: The Heist,Insomniac Games, singleplayer,"68,99 €"
Dragon Age II: Mark of the Assassin,BioWare, ,"55,99 €"
NHL Slapshot,EA Sports, ,"85,99 €"
Red Orchestra 2: Heroes of Stalingrad,Tripwire Interactive, multiplayer,"73,99 €"
Broken Age,Double Fine Productions, singleplayer,"69,99 €"
The Flame in the Flood: Complete Edition,The Molasses Flood, ,"62,99 €"
Audiosurf 2,BestGameEver.com, singleplayer,"71,99 €"
Jade Cocoon 2,Genki, multiplayer,"79,99 €"
WWF SmackDown! Just Bring It,Yuke's, multiplayer,"73,99 €"
Myth III: The Wolf Age,MumboJumbo, multiplayer,"68,99 €"
Record of Lodoss War,Neverland, ,"83,99 €"
Speed Devils Online Racing,Ubisoft Montreal, ,"81,99 €"
Rune (2000),Human Head Studios, multiplayer,"75,99 €"
Art Style: light trax,Skip Ltd., singleplayer,"76,99 €"
JYDGE,10tons, singleplayer,"66,99 €"
Future Unfolding,Spaces of Play, singleplayer,"66,99 €"
Pode,Henchman & Goon, singleplayer,"75,99 €"
Story of Seasons,Marvelous AQL, singleplayer,"80,99 €"
Aliens: Infestation,Gearbox Software, ,"82,99 €"
Necrobarista: Final Pour,Coconut Island Games, singleplayer,"76,99 €"
Stirring Abyss,Sleepy Sentry, singleplayer,"68,99 €"
The Swords of Ditto: Mormo's Curse,One Bit Beyond, singleplayer,"70,99 €"
Serious Sam's Bogus Detour,Crackshell, multiplayer,"83,99 €"
Atelier Shallie: Alchemists of the Dusk Sea,Gust, singleplayer,"77,99 €"
The Lost Chronicles of Zerzura,Cranberry Production, ,"68,99 €"
Nancy Drew: Warnings at Waverly Academy,Her Interactive, ,"69,99 €"
Race Driver: Create & Race,Firebrand Games, multiplayer,"70,99 €"
Overlord,Triumph Studios, multiplayer,"83,99 €"
Mega Man ZX,Inti Creates, singleplayer,"89,99 €"
Battalion Wars,Kuju Entertainment, singleplayer,"86,99 €"
Super Mario Strikers,Next Level Games, multiplayer,"86,99 €"
Mario Superstar Baseball,Namco, multiplayer,"84,99 €"
Assassin's Creed: Brotherhood - The Da Vinci Disappearance,Ubisoft Montreal, singleplayer,"78,99 €"
"Wallace & Gromit's Grand Adventures, Episode 1: Fright of the Bumblebees",Telltale Games, ,"76,99 €"
Order Up!,SuperVillain Studios, singleplayer,"85,99 €"
Din's Curse,Soldak Entertainment, multiplayer,"76,99 €"
Hyrule Warriors,Omega Force, singleplayer,"83,99 €"
Wraith: The Oblivion - Afterlife,Fast Travel Games, singleplayer,"78,99 €"
ShootMania Storm,Nadeo, ,"73,99 €"
Post Void,YCJY Games, singleplayer,"78,99 €"
Utawarerumono: Prelude to the Fallen,Aqua Plus, singleplayer,"59,99 €"
Feudal Alloy,Lukas Navratil, singleplayer,"74,99 €"
Aggressors: Ancient Rome,Kubat Software, singleplayer,"82,99 €"
Crawl,Powerhoof, singleplayer,"65,99 €"
The Magic Circle: Gold Edition,Question, ,"71,99 €"
DISTRAINT,Jesse Makkonen, singleplayer,"75,99 €"
Sayonara UmiharaKawase +,Studio Saizensen, ,"82,99 €"
Digimon Story Cyber Sleuth: Complete Edition,Media.Vision, multiplayer,"65,99 €"
Payday: The Heist,Overkill Software, ,"77,99 €"
Snoopy vs. the Red Baron,Smart Bomb Interactive, multiplayer,"82,99 €"
Paper Mario: Color Splash,Nintendo, singleplayer,"71,99 €"
The Wild At Heart,Moonlight Kids, singleplayer,"73,99 €"
Everybody's Gone to the Rapture,The Chinese Room, singleplayer,"54,99 €"
Phantom Brave: We Meet Again,Nippon Ichi Software, singleplayer,"82,99 €"
Midtown Madness 3,Digital Illusions, multiplayer,"82,99 €"
Grand Prix Challenge,Atari, multiplayer,"83,99 €"
Summoner 2,Volition Inc., singleplayer,"84,99 €"
SingStar Amped,SCEE London Studio, multiplayer,"76,99 €"
Artifact,Valve Software, multiplayer,"22,99 €"
Diablo III: Rise of the Necromancer,Blizzard Entertainment, ,"46,99 €"
Wii Sports,Nintendo, singleplayer,"81,99 €"
The Sims 2: Nightlife,Maxis, singleplayer,"68,99 €"
Konami Classics Series: Arcade Hits,M2, singleplayer,"76,99 €"
Nobunaga's Ambition: Iron Triangle,Koei, singleplayer,"83,99 €"
Scene It? Box Office Smash,Krome Studios, multiplayer,"74,99 €"
Langrisser I & II,Kadokawa, singleplayer,"76,99 €"
Worms,Team17, multiplayer,"76,99 €"
Suikoden V,Konami, singleplayer,"87,99 €"
Demigod,Gas Powered Games, multiplayer,"77,99 €"
The Sims 4: Paranormal Stuff Pack,Maxis, singleplayer,"76,99 €"
The Jackbox Party Pack 7,"Jackbox Games, Inc.", multiplayer,"75,99 €"
Amnesia Collection,Frictional Games, singleplayer,"82,99 €"
XType Plus,PhobosLab, ,"82,99 €"
Pokemon Emerald Version,Game Freak, multiplayer,"89,99 €"
Tales of Hearts R,7thChord, singleplayer,"81,99 €"
1000 Tiny Claws,Mediatonic, ,"63,99 €"
Heavy Rain Chronicles Episode 1: The Taxidermist,Quantic Dream, singleplayer,"77,99 €"
Seasons After Fall,Swing Swing Submarine, singleplayer,"71,99 €"
Xuan-Yuan Sword 7,SOFTSTAR Entertainment, singleplayer,"70,99 €"
Descenders,RageSquid, singleplayer,"48,99 €"
Defector,Twisted Pixel Games, singleplayer,"39,99 €"
Sly Cooper: Thieves in Time,Sanzaru Games, singleplayer,"79,99 €"
NCAA Basketball 10,EA Canada, multiplayer,"77,99 €"
Baten Kaitos Origins,Monolith Soft, singleplayer,"85,99 €"
The Persistence,Firesprite, singleplayer,"51,99 €"
Deus Ex: Mankind Divided - System Rift,Eidos Montreal, ,"64,99 €"
Back to the Future: The Game - Episode V: OUTATIME,Telltale Games, ,"71,99 €"
Sam & Max Save the World Remastered,Skunkape Games, singleplayer,"43,99 €"
Hakuoki: Edo Blossoms,Otomate, singleplayer,"68,99 €"
Speed Racer,Virtuos, singleplayer,"74,99 €"
Road 96,Digixart Entertainment, ,"81,99 €"
Actual Sunlight,Will O'Neill, ,"63,99 €"
Resident Evil: The Darkside Chronicles,Cavia Inc., singleplayer,"78,99 €"
Naruto: Ultimate Ninja,CyberConnect2, multiplayer,"76,99 €"
Chicken Run,Blitz Games, singleplayer,"69,99 €"
A Rose in the Twilight,Nippon Ichi Software, ,"79,99 €"
Dreamfall: The Longest Journey,Funcom, singleplayer,"85,99 €"
TrackMania DS,Firebrand Games, ,"72,99 €"
Deemo Reborn,Rayark Inc., singleplayer,"76,99 €"
Ace Combat X: Skies of Deception,Project Aces, multiplayer,"84,99 €"
Battle of Britain II: Wings of Victory,Shockwave Productions, singleplayer,"40,99 €"
Battlezone 98 Redux,Big Boat Interactive, ,"87,99 €"
Dementium II,Renegade Kid, ,"85,99 €"
Shin Megami Tensei: Persona 2 - Innocent Sin,ITL, singleplayer,"52,99 €"
Blitzkrieg 2,Nival Interactive, multiplayer,"72,99 €"
One Piece: Pirate Warriors 4,Omega Force, multiplayer,"77,99 €"
Cattails,Falcon Development, singleplayer,"72,99 €"
Sonic & Sega All-Stars Racing with Banjo-Kazooie,Sumo Digital, multiplayer,"77,99 €"
Angry Video Game Nerd I & II Deluxe,FreakZone, singleplayer,"78,99 €"
Infinite Space,PlatinumGames, ,"82,99 €"
Labyrinth City: Pierre the Maze Detective,Darjeeling, singleplayer,"75,99 €"
F.E.A.R. Extraction Point,Monolith Productions, multiplayer,"75,99 €"
Evil Genius,Elixir Studios, singleplayer,"83,99 €"
Digimon Story Cyber Sleuth,Media.Vision, multiplayer,"81,99 €"
Norn9: Var Commons,Idea Factory, singleplayer,"72,99 €"
Noby Noby Boy,Bandai Namco Games, ,"71,99 €"
Tempest 4000,Llamasoft, singleplayer,"53,99 €"
Shardlight,Wadjet Eye Games, singleplayer,"68,99 €"
Naruto: Ultimate Ninja 3,CyberConnect2, multiplayer,"86,99 €"
LUNA The Shadow Dust,Lantern Studio, singleplayer,"70,99 €"
.hack//Infection Part 1,CyberConnect2, singleplayer,"83,99 €"
Sonic Mega Collection,Sonic Team, multiplayer,"86,99 €"
Jackie Chan Adventures,Torus Games, singleplayer,"80,99 €"
Indiana Jones and the Infernal Machine,Factor 5, ,"80,99 €"
Jazzpunk,Necrophone, ,"77,99 €"
Gran Turismo Sport,Polyphony Digital, multiplayer,"61,99 €"
MIND: Path to Thalamus,Carlos Coronado, singleplayer,"69,99 €"
Etrian Odyssey,Lancarse, singleplayer,"85,99 €"
Field of Glory II: Medieval,Slitherine, multiplayer,"73,99 €"
Atom Zombie Smasher,Blendo Games, singleplayer,"71,99 €"
Left 4 Dead 2: The Passing,Valve Software, ,"75,99 €"
Blade Strangers,Studio Saizensen, multiplayer,"79,99 €"
Stikbold! A Dodgeball Adventure,Reign Bros, ,"70,99 €"
Atelier Sophie: The Alchemist of the Mysterious Book,Gust, singleplayer,"78,99 €"
Inazuma Eleven Go: Shadow,Level 5, ,"72,99 €"
Yooka-Laylee,Playtonic Games, singleplayer,"74,99 €"
Dance Dance Revolution Ultramix 3,Konami, multiplayer,"86,99 €"
Zubo,EA Bright Light, singleplayer,"76,99 €"
The House of the Dead: Overkill - Extended Cut,Headstrong Games, singleplayer,"74,99 €"
DiRT Showdown,Codemasters, multiplayer,"66,99 €"
The Falconeer: Warrior Edition,Tomas Sala, ,"75,99 €"
Blizzard Arcade Collection,Blizzard Entertainment, singleplayer,"75,99 €"
Shiren The Wanderer: The Tower of Fortune and the Dice of Fate,Spike Chunsoft, singleplayer,"78,99 €"
QV,Izzle, ,"75,99 €"
Drake Hollow,The Molasses Flood, singleplayer,"66,99 €"
Death Come True,Izanagi Games, singleplayer,"41,99 €"
Evan's Remains,Matias Schmied, singleplayer,"75,99 €"
Headliner: NoviNews,Unbound Creations, singleplayer,"76,99 €"
We. The Revolution,Polyslash, singleplayer,"74,99 €"
MotoGP 19,Milestone S.r.l, multiplayer,"74,99 €"
X-Morph: Defense,EXOR Studios, singleplayer,"81,99 €"
City of Brass,Uppercut Games Pty Ltd, singleplayer,"66,99 €"
Bulb Boy,Bulbware, singleplayer,"73,99 €"
Stars in Shadow,Ashdar Games, singleplayer,"83,99 €"
Road to Ballhalla,Torched Hill, singleplayer,"71,99 €"
Dengeki Bunko: Fighting Climax,Sega, multiplayer,"84,99 €"
Airscape: The Fall of Gravity,Cross-Product, singleplayer,"66,99 €"
Call of Duty: Advanced Warfare - Reckoning,Sledgehammer Games, ,"57,99 €"
Call of Duty: Advanced Warfare - Ascendance,Sledgehammer Games, ,"67,99 €"
GRID Autosport,Codemasters, multiplayer,"60,99 €"
Blood of the Werewolf,Scientifically Proven, ,"66,99 €"
Super Ultra Dead Rising 3' Arcade Remix Hyper Edition EX Plus Alpha,Capcom Vancouver, ,"62,99 €"
Akai Katana,Cave, singleplayer,"81,99 €"
Supreme Commander 2,Gas Powered Games, multiplayer,"70,99 €"
The Sims 2 Apartment Life,Electronic Arts, singleplayer,"77,99 €"
City Life: World Edition,Monte Cristo Multimedia, singleplayer,"75,99 €"
Bust-A-Move DS,Happy Happening, singleplayer,"73,99 €"
Star Wars Rogue Squadron III: Rebel Strike,Factor 5, multiplayer,"76,99 €"
Savage: The Battle for Newerth,S2 Games, multiplayer,"76,99 €"
Hegemonia: Legions of Iron,Digital Reality, multiplayer,"76,99 €"
The Sims: Vacation,Maxis, singleplayer,"78,99 €"
Victorious Boxers: Ippo's Road to Glory,New, multiplayer,"80,99 €"
World Driver Championship,Boss Game Studios, multiplayer,"82,99 €"
VirtuaVerse,Theta Division, singleplayer,"78,99 €"
Overland,Finji, singleplayer,"67,99 €"
Total War: Arena,Creative Assembly, multiplayer,"73,99 €"
Reus,BlitWorks, singleplayer,"41,99 €"
Event[0],Kenshin Game Studio, singleplayer,"69,99 €"
Tropico 5 Penultimate Edition,Kalypso, ,"64,99 €"
NBA Jam,EA Canada, multiplayer,"75,99 €"
Sol Survivor,Cadenza, ,"77,99 €"
Missing: Since January,Lexis Numerique, singleplayer,"65,99 €"
Magic: The Gathering Online,Leaping Lizard Software Inc., multiplayer,"51,99 €"
Blade of Darkness,Rebel Act Studios, multiplayer,"86,99 €"
Dead or Alive 5 Last Round,Team Ninja, multiplayer,"73,99 €"
Evoland 2: A Slight Case of Spacetime Continuum Disorder,Shiro Games, singleplayer,"74,99 €"
Tokyo Xanadu,Falcom, singleplayer,"80,99 €"
Batman: The Brave and the Bold - The Videogame,WayForward, singleplayer,"81,99 €"
Pato Box,Bromio, singleplayer,"75,99 €"
Sundered,Thunder Lotus Games, singleplayer,"75,99 €"
Every Extend Extra,Q Entertainment, singleplayer,"73,99 €"
Ivy the Kiwi?,Prope, singleplayer,"72,99 €"
Hasbro Family Game Night: Sorry! Sliders,Electronic Arts, multiplayer,"74,99 €"
Real World Golf,Aqua Pacific, multiplayer,"74,99 €"
Epistory - Typing Chronicles,Fishing Cactus, singleplayer,"77,99 €"
Tricky Towers,WeirdBeard, singleplayer,"75,99 €"
Batman: Arkham VR,Rocksteady Studios, singleplayer,"72,99 €"
Back to the Future: The Game - Episode I: It's About Time,Telltale Games, singleplayer,"71,99 €"
Chili Con Carnage,Deadline Games, multiplayer,"74,99 €"
Dead Nation: Apocalypse Edition,Climax Studios, ,"71,99 €"
The Wolf Among Us: Episode 4 - In Sheep's Clothing,Telltale Games, ,"83,99 €"
The Walking Dead: The Telltale Series - The Final Season Episode 3: Broken Toys,Telltale Games, singleplayer,"77,99 €"
ClaDun x2,System Prisma, ,"83,99 €"
Zoo Keeper,"Buddiez, Inc.", multiplayer,"75,99 €"
Calling All Cars!,SCEA, multiplayer,"71,99 €"
Romancing SaGa 3,Square Enix, singleplayer,"63,99 €"
